"popul","TVnews","ClinLR","DoleLR","age","educ","income","vote"
0,7,"sliLib","Mod",39,"Coll","$35K-$40K","Clinton"
51,4,"sliLib","sliCon",68,"HS","$75K-$90K","Dole"
45,7,"Mod","Con",88,"Coll","$7K-$9K","Clinton"
2,7,"Lib","extCon",66,"Coll","$17K-$20K","Clinton"
2800,7,"Lib","extCon",23,"Coll","$40K-$45K","Clinton"
40,7,"sliLib","Mod",40,"BAdeg","$3K-$5K","Clinton"
0,7,"extLib","Con",39,"HS","$30K-$35K","Dole"
350,1,"Lib","Con",55,"BAdeg","$105Kplus","Dole"
51,2,"extLib","sliCon",80,"BAdeg","$13K-$14K","Dole"
7,7,"sliLib","Con",76,"CCdeg","$30K-$35K","Clinton"
56,4,"sliCon","sliLib",78,"BAdeg","$25K-$30K","Dole"
53,0,"Lib","Con",37,"BAdeg","$25K-$30K","Clinton"
0,0,"Mod","sliLib",36,"HS","$20K-$22K","Clinton"
22,7,"sliLib","Mod",58,"MAdeg","$60K-$75K","Clinton"
54,7,"Lib","Con",62,"CCdeg","$50K-$60K","Dole"
83,0,"Mod","extCon",29,"BAdeg","$22K-$25K","Clinton"
0,0,"extLib","Con",39,"CCdeg","$25K-$30K","Dole"
31,7,"Lib","extCon",22,"Coll","$10K-$11K","Clinton"
30,5,"sliLib","Con",38,"CCdeg","$22K-$25K","Clinton"
12,0,"sliLib","Con",25,"BAdeg","$12K-$13K","Dole"
33,2,"Lib","Con",33,"BAdeg","$50K-$60K","Dole"
29,1,"sliCon","sliLib",58,"MS","$30K-$35K","Clinton"
11,3,"sliCon","Con",47,"HS","$60K-$75K","Clinton"
11,5,"Lib","Con",27,"MAdeg","$25K-$30K","Dole"
3500,3,"Lib","extCon",21,"HS","$45K-$50K","Clinton"
520,7,"Lib","sliCon",60,"Coll","$40K-$45K","Dole"
12,1,"Lib","Con",42,"Coll","$10K-$11K","Dole"
0,7,"Lib","Con",45,"Coll","$60K-$75K","Dole"
64,2,"Lib","Con",26,"CCdeg","$45K-$50K","Dole"
0,1,"Lib","Con",39,"HSdrop","$20K-$22K","Clinton"
7300,5,"extCon","Con",21,"HSdrop","$12K-$13K","Clinton"
7,1,"sliLib","Con",30,"Coll","$50K-$60K","Dole"
84,0,"Lib","extCon",26,"BAdeg","$17K-$20K","Clinton"
14,0,"extLib","sliCon",29,"Coll","$40K-$45K","Dole"
14,0,"Lib","Con",40,"BAdeg","$25K-$30K","Clinton"
350,0,"Mod","extCon",26,"HSdrop","$3K-$5K","Clinton"
100,0,"Lib","Con",42,"Coll","$50K-$60K","Clinton"
2,7,"sliCon","sliCon",55,"HS","$90K-$105K","Clinton"
0,3,"Lib","extCon",42,"BAdeg","$75K-$90K","Clinton"
640,7,"Con","Mod",68,"BAdeg","$3Kminus","Clinton"
470,1,"Lib","Con",29,"HS","$45K-$50K","Clinton"
0,0,"sliLib","Mod",39,"HS","$105Kplus","Clinton"
0,7,"Lib","Con",41,"Coll","$105Kplus","Dole"
4,7,"Lib","Con",64,"BAdeg","$50K-$60K","Dole"
640,7,"sliLib","Con",37,"MAdeg","$75K-$90K","Clinton"
0,0,"sliLib","Con",58,"Coll","$35K-$40K","Clinton"
190,0,"Mod","Con",20,"Coll","$3K-$5K","Clinton"
35,3,"sliLib","sliCon",29,"BAdeg","$25K-$30K","Clinton"
0,5,"sliLib","Con",43,"BAdeg","$35K-$40K","Clinton"
0,2,"sliLib","sliCon",72,"MAdeg","$25K-$30K","Dole"
35,7,"Mod","Con",85,"MAdeg","$45K-$50K","Clinton"
51,1,"Mod","sliCon",31,"HS","$60K-$75K","Clinton"
0,7,"Con","sliLib",45,"HS","$75K-$90K","Clinton"
50,3,"Mod","extLib",23,"HS","$60K-$75K","Clinton"
20,0,"sliLib","sliCon",49,"BAdeg","$105Kplus","Clinton"
190,4,"sliLib","Con",62,"MAdeg","$25K-$30K","Clinton"
470,4,"Lib","Con",40,"Coll","$45K-$50K","Dole"
74,4,"Lib","Con",70,"HSdrop","$25K-$30K","Clinton"
0,2,"Mod","Mod",67,"MS","$15K-$17K","Clinton"
31,7,"Lib","Con",24,"BAdeg","$3Kminus","Clinton"
0,1,"Lib","sliCon",35,"MAdeg","$75K-$90K","Dole"
0,7,"extLib","sliCon",51,"CCdeg","$105Kplus","Dole"
27,7,"extCon","Mod",63,"HSdrop","$45K-$50K","Dole"
0,3,"Lib","extCon",43,"BAdeg","$105Kplus","Dole"
900,7,"Mod","Con",51,"HS","$45K-$50K","Clinton"
170,2,"sliLib","sliCon",54,"MAdeg","$105Kplus","Clinton"
170,0,"Lib","Con",35,"Coll","$50K-$60K","Dole"
62,4,"Lib","Con",36,"CCdeg","$60K-$75K","Dole"
170,7,"Lib","Con",49,"MAdeg","$40K-$45K","Dole"
0,2,"Lib","Con",22,"HS","$90K-$105K","Dole"
0,3,"Con","Mod",49,"Coll","$75K-$90K","Clinton"
1000,7,"Mod","sliCon",42,"CCdeg","$15K-$17K","Clinton"
0,2,"extLib","Con",49,"Coll","$90K-$105K","Dole"
71,2,"extCon","Lib",55,"HS","$60K-$75K","Clinton"
0,7,"Lib","sliCon",36,"HS","$35K-$40K","Dole"
0,0,"Con","Lib",24,"Coll","$35K-$40K","Dole"
1,7,"Lib","extCon",55,"Coll","$45K-$50K","Clinton"
53,3,"sliLib","Con",33,"CCdeg","$10K-$11K","Clinton"
16,7,"Con","sliLib",69,"HS","$11K-$12K","Clinton"
7300,7,"Lib","Mod",63,"BAdeg","$25K-$30K","Dole"
76,3,"Lib","Con",36,"Coll","$50K-$60K","Clinton"
5,7,"sliLib","sliCon",31,"HSdrop","$35K-$40K","Dole"
0,2,"Lib","sliCon",42,"MAdeg","$35K-$40K","Dole"
40,4,"sliCon","Mod",72,"HSdrop","$10K-$11K","Clinton"
3,7,"sliLib","Con",77,"BAdeg","$30K-$35K","Clinton"
640,5,"Mod","Con",24,"BAdeg","$30K-$35K","Clinton"
470,3,"Mod","extCon",39,"HS","$25K-$30K","Clinton"
0,0,"Con","sliLib",46,"CCdeg","$17K-$20K","Clinton"
6,7,"sliLib","Con",53,"HS","$40K-$45K","Clinton"
9,2,"Lib","Con",46,"BAdeg","$105Kplus","Clinton"
150,4,"sliLib","Mod",26,"BAdeg","$105Kplus","Clinton"
0,4,"sliLib","extLib",36,"Coll","$22K-$25K","Clinton"
2800,0,"sliLib","extCon",39,"HS","$3Kminus","Clinton"
16,7,"Lib","Con",74,"Coll","$25K-$30K","Clinton"
12,3,"Con","sliLib",27,"HS","$3K-$5K","Clinton"
640,3,"Mod","Mod",40,"HS","$5K-$7K","Clinton"
0,3,"sliLib","Con",42,"HS","$14K-$15K","Clinton"
18,7,"Mod","Con",72,"BAdeg","$90K-$105K","Dole"
67,7,"sliLib","Con",33,"CCdeg","$25K-$30K","Clinton"
5,5,"sliCon","Mod",61,"HS","$40K-$45K","Clinton"
6,7,"Con","sliCon",46,"Coll","$50K-$60K","Clinton"
140,3,"sliLib","Con",65,"Coll","$45K-$50K","Clinton"
100,7,"Mod","extCon",43,"CCdeg","$5K-$7K","Clinton"
47,5,"sliCon","extCon",58,"HS","$17K-$20K","Clinton"
290,7,"Mod","extCon",41,"BAdeg","$105Kplus","Clinton"
1,5,"sliLib","Con",27,"BAdeg","$40K-$45K","Clinton"
6,1,"Mod","extCon",56,"HS","$30K-$35K","Clinton"
220,7,"extLib","Mod",38,"BAdeg","$60K-$75K","Dole"
24,2,"Lib","Con",31,"CCdeg","$14K-$15K","Dole"
7300,1,"Lib","extCon",27,"BAdeg","$13K-$14K","Clinton"
4,7,"Con","Con",88,"HSdrop","$5K-$7K","Clinton"
270,7,"Lib","extCon",67,"HS","$25K-$30K","Clinton"
12,0,"sliCon","sliLib",23,"HS","$15K-$17K","Clinton"
0,1,"sliLib","extCon",31,"HS","$5K-$7K","Clinton"
0,5,"Mod","sliLib",29,"HS","$60K-$75K","Clinton"
2,1,"extCon","sliCon",62,"HS","$30K-$35K","Clinton"
67,0,"sliCon","Con",69,"HS","$90K-$105K","Clinton"
11,7,"Con","Lib",62,"HS","$30K-$35K","Clinton"
22,1,"extLib","sliCon",21,"Coll","$30K-$35K","Dole"
32,5,"extCon","Mod",65,"MS","$9K-$10K","Clinton"
740,7,"extLib","Con",55,"CCdeg","$50K-$60K","Dole"
170,7,"extLib","sliCon",89,"MAdeg","$50K-$60K","Dole"
190,7,"Mod","Con",52,"BAdeg","$105Kplus","Clinton"
67,1,"Mod","extCon",64,"HS","$7K-$9K","Clinton"
0,7,"sliLib","sliCon",31,"CCdeg","$9K-$10K","Dole"
100,0,"sliLib","Con",32,"Coll","$50K-$60K","Clinton"
55,1,"Lib","Con",49,"Coll","$75K-$90K","Dole"
19,5,"extLib","Mod",68,"HS","$25K-$30K","Dole"
270,3,"sliLib","sliLib",50,"Coll","$35K-$40K","Clinton"
290,4,"sliCon","sliLib",30,"BAdeg","$50K-$60K","Clinton"
180,1,"extLib","Con",30,"Coll","$60K-$75K","Dole"
1,6,"extLib","Con",63,"MAdeg","$60K-$75K","Dole"
0,0,"extLib","Con",44,"BAdeg","$90K-$105K","Dole"
110,5,"extLib","Con",60,"MAdeg","$25K-$30K","Dole"
900,5,"Lib","Con",73,"HS","$30K-$35K","Dole"
7300,3,"sliLib","Con",19,"Coll","$15K-$17K","Clinton"
0,7,"Lib","extCon",65,"HSdrop","$25K-$30K","Clinton"
0,7,"sliLib","Con",58,"HSdrop","$50K-$60K","Dole"
31,3,"sliLib","Con",29,"MAdeg","$22K-$25K","Clinton"
170,1,"sliLib","Con",41,"BAdeg","$50K-$60K","Clinton"
4,0,"Mod","Lib",48,"HS","$35K-$40K","Clinton"
13,2,"Lib","Con",37,"BAdeg","$50K-$60K","Clinton"
0,0,"extLib","Con",38,"HS","$60K-$75K","Dole"
900,1,"Lib","extCon",34,"BAdeg","$90K-$105K","Dole"
2800,6,"Lib","sliCon",63,"BAdeg","$45K-$50K","Dole"
83,3,"sliLib","Con",45,"CCdeg","$105Kplus","Clinton"
0,3,"sliLib","extCon",35,"MAdeg","$35K-$40K","Clinton"
83,4,"Mod","sliCon",28,"BAdeg","$3Kminus","Clinton"
35,7,"extLib","sliCon",76,"HSdrop","$15K-$17K","Dole"
23,4,"extLib","sliCon",58,"BAdeg","$35K-$40K","Dole"
170,7,"Lib","extCon",75,"CCdeg","$60K-$75K","Clinton"
0,7,"sliLib","sliCon",84,"BAdeg","$11K-$12K","Clinton"
64,3,"Mod","Lib",60,"HSdrop","$5K-$7K","Clinton"
0,7,"Lib","sliCon",52,"BAdeg","$60K-$75K","Clinton"
15,7,"Lib","Con",59,"MS","$9K-$10K","Dole"
17,7,"Lib","Con",57,"BAdeg","$75K-$90K","Clinton"
0,1,"Lib","sliCon",39,"CCdeg","$50K-$60K","Dole"
0,0,"Lib","extCon",48,"MAdeg","$90K-$105K","Dole"
15,0,"sliCon","Con",57,"MAdeg","$90K-$105K","Clinton"
180,4,"extCon","sliCon",48,"Coll","$30K-$35K","Clinton"
110,0,"sliLib","Con",26,"Coll","$25K-$30K","Dole"
1600,5,"Lib","Con",38,"BAdeg","$35K-$40K","Dole"
7300,5,"Mod","sliLib",36,"Coll","$12K-$13K","Clinton"
35,7,"Lib","sliCon",71,"HSdrop","$9K-$10K","Clinton"
110,4,"Lib","sliCon",61,"BAdeg","$60K-$75K","Dole"
9,3,"Mod","extCon",33,"BAdeg","$22K-$25K","Clinton"
44,7,"sliLib","extCon",78,"Coll","$13K-$14K","Clinton"
0,2,"Mod","sliLib",20,"HS","$17K-$20K","Dole"
0,7,"Lib","sliCon",53,"BAdeg","$30K-$35K","Dole"
9,5,"extLib","extCon",69,"Coll","$105Kplus","Dole"
42,2,"sliLib","sliCon",32,"MAdeg","$90K-$105K","Clinton"
51,5,"sliLib","sliCon",43,"BAdeg","$90K-$105K","Dole"
370,5,"extCon","Mod",35,"HS","$15K-$17K","Clinton"
31,5,"sliLib","Con",48,"BAdeg","$60K-$75K","Clinton"
33,7,"sliLib","Mod",40,"BAdeg","$50K-$60K","Dole"
4,2,"sliLib","Mod",58,"HSdrop","$30K-$35K","Clinton"
0,2,"extLib","Con",37,"HS","$40K-$45K","Dole"
88,4,"sliLib","Con",28,"BAdeg","$60K-$75K","Dole"
0,3,"sliLib","extCon",30,"BAdeg","$35K-$40K","Clinton"
900,4,"sliLib","Con",48,"HS","$45K-$50K","Clinton"
0,0,"Lib","sliLib",36,"Coll","$50K-$60K","Dole"
47,7,"sliLib","Con",36,"BAdeg","$90K-$105K","Dole"
110,0,"sliLib","Con",40,"MAdeg","$30K-$35K","Clinton"
1,7,"extCon","Lib",53,"MS","$30K-$35K","Clinton"
6,1,"Lib","Mod",76,"HS","$7K-$9K","Dole"
350,7,"sliLib","extCon",60,"CCdeg","$30K-$35K","Clinton"
350,7,"sliLib","extCon",47,"BAdeg","$75K-$90K","Clinton"
20,1,"Lib","Con",29,"Coll","$75K-$90K","Dole"
150,7,"sliLib","Con",55,"HS","$50K-$60K","Clinton"
0,5,"Lib","Con",44,"MAdeg","$90K-$105K","Clinton"
200,0,"sliCon","Mod",56,"Coll","$12K-$13K","Clinton"
1600,0,"Lib","Mod",26,"HSdrop","$3Kminus","Clinton"
900,0,"Mod","extCon",42,"HSdrop","$20K-$22K","Clinton"
22,0,"Lib","sliCon",40,"BAdeg","$40K-$45K","Dole"
0,0,"Mod","Con",45,"BAdeg","$75K-$90K","Clinton"
110,7,"Lib","sliCon",67,"HS","$25K-$30K","Dole"
1,7,"Lib","sliCon",73,"HS","$17K-$20K","Dole"
110,1,"sliCon","extLib",33,"HS","$60K-$75K","Clinton"
0,5,"sliCon","Mod",37,"CCdeg","$17K-$20K","Dole"
640,4,"sliCon","sliCon",51,"HS","$40K-$45K","Dole"
0,5,"sliLib","Mod",50,"Coll","$30K-$35K","Clinton"
31,5,"sliLib","Con",48,"BAdeg","$60K-$75K","Clinton"
0,3,"sliCon","Mod",62,"HSdrop","$60K-$75K","Clinton"
0,7,"Lib","Con",56,"HS","$20K-$22K","Dole"
0,1,"Lib","Con",45,"Coll","$75K-$90K","Dole"
0,0,"extLib","Con",43,"BAdeg","$40K-$45K","Dole"
9,7,"Mod","Con",53,"HSdrop","$35K-$40K","Clinton"
0,2,"sliLib","extCon",27,"CCdeg","$50K-$60K","Clinton"
170,1,"Lib","extCon",34,"BAdeg","$35K-$40K","Clinton"
0,3,"Lib","sliCon",56,"MAdeg","$75K-$90K","Clinton"
0,7,"extLib","extCon",24,"BAdeg","$60K-$75K","Dole"
27,1,"sliCon","sliLib",25,"CCdeg","$60K-$75K","Clinton"
81,2,"Lib","sliCon",34,"Coll","$60K-$75K","Dole"
40,7,"Mod","Con",64,"HS","$35K-$40K","Dole"
900,4,"Lib","sliCon",83,"HS","$15K-$17K","Dole"
0,0,"Lib","Con",45,"BAdeg","$50K-$60K","Dole"
51,2,"Lib","Con",41,"BAdeg","$60K-$75K","Clinton"
15,5,"sliLib","Con",36,"HS","$30K-$35K","Clinton"
0,0,"sliLib","Con",40,"Coll","$50K-$60K","Clinton"
8,1,"Lib","Mod",36,"MAdeg","$75K-$90K","Dole"
290,7,"Lib","Con",52,"Coll","$20K-$22K","Clinton"
2,6,"Lib","Con",38,"Coll","$75K-$90K","Dole"
0,7,"Mod","extCon",47,"HS","$12K-$13K","Clinton"
110,3,"sliCon","extCon",36,"HS","$22K-$25K","Clinton"
0,6,"sliLib","Con",77,"HS","$35K-$40K","Dole"
45,7,"sliLib","extCon",74,"HS","$12K-$13K","Clinton"
290,1,"Lib","sliCon",38,"BAdeg","$75K-$90K","Dole"
16,2,"extCon","Mod",27,"HS","$20K-$22K","Clinton"
5,3,"sliLib","Con",43,"Coll","$25K-$30K","Clinton"
1,4,"Mod","Con",63,"MAdeg","$105Kplus","Clinton"
110,7,"extLib","sliCon",57,"HS","$25K-$30K","Dole"
22,7,"Lib","Con",27,"BAdeg","$22K-$25K","Clinton"
93,2,"sliLib","Con",41,"BAdeg","$22K-$25K","Clinton"
0,7,"Mod","Con",57,"HS","$5K-$7K","Clinton"
42,7,"sliLib","Con",28,"MAdeg","$35K-$40K","Dole"
0,7,"extLib","Con",50,"HSdrop","$60K-$75K","Dole"
1,7,"Con","extLib",28,"HS","$50K-$60K","Clinton"
11,4,"Lib","Con",38,"CCdeg","$25K-$30K","Dole"
5,3,"sliLib","sliCon",27,"BAdeg","$90K-$105K","Dole"
10,2,"Lib","Con",28,"MAdeg","$75K-$90K","Clinton"
8,5,"Lib","Con",67,"BAdeg","$30K-$35K","Dole"
100,7,"Lib","Con",64,"CCdeg","$15K-$17K","Dole"
42,0,"Lib","Con",27,"BAdeg","$35K-$40K","Dole"
35,1,"Lib","Con",24,"BAdeg","$60K-$75K","Dole"
0,2,"sliLib","Con",37,"HS","$40K-$45K","Clinton"
45,0,"sliCon","Mod",43,"HS","$50K-$60K","Dole"
8,2,"Lib","Con",25,"Coll","$35K-$40K","Dole"
110,5,"Mod","sliCon",50,"MAdeg","$17K-$20K","Clinton"
13,2,"Lib","sliCon",73,"Coll","$50K-$60K","Dole"
35,4,"Lib","sliCon",38,"HSdrop","$25K-$30K","Dole"
290,0,"sliLib","Con",35,"Coll","$17K-$20K","Dole"
110,1,"Lib","Con",22,"Coll","$45K-$50K","Clinton"
2,7,"extLib","Lib",62,"HSdrop","$15K-$17K","Clinton"
0,7,"Lib","Con",33,"CCdeg","$105Kplus","Dole"
190,0,"Lib","Con",39,"HS","$10K-$11K","Dole"
33,7,"Lib","Con",51,"Coll","$3Kminus","Dole"
0,0,"extLib","sliCon",53,"HS","$25K-$30K","Dole"
180,7,"Lib","Mod",44,"CCdeg","$45K-$50K","Clinton"
900,1,"Lib","Con",33,"HS","$45K-$50K","Clinton"
40,0,"Mod","Con",35,"Coll","$17K-$20K","Clinton"
40,0,"Lib","Mod",38,"HS","$30K-$35K","Dole"
0,6,"Lib","sliCon",46,"MAdeg","$105Kplus","Dole"
0,7,"Lib","extCon",70,"HSdrop","$20K-$22K","Clinton"
11,5,"Mod","Mod",71,"BAdeg","$25K-$30K","Clinton"
18,0,"Mod","Con",51,"MAdeg","$105Kplus","Clinton"
170,7,"Lib","Con",34,"BAdeg","$30K-$35K","Dole"
520,7,"Mod","Con",34,"HS","$50K-$60K","Clinton"
5,0,"Lib","Con",53,"HS","$90K-$105K","Dole"
0,0,"Lib","Con",21,"CCdeg","$30K-$35K","Clinton"
0,3,"Lib","Con",50,"HS","$22K-$25K","Dole"
64,7,"sliLib","extLib",24,"Coll","$12K-$13K","Clinton"
31,2,"Mod","sliLib",23,"CCdeg","$20K-$22K","Dole"
32,0,"sliLib","Mod",29,"BAdeg","$60K-$75K","Clinton"
0,0,"sliLib","sliCon",31,"MAdeg","$35K-$40K","Clinton"
31,3,"sliLib","Con",29,"BAdeg","$25K-$30K","Clinton"
0,0,"extLib","Mod",54,"BAdeg","$90K-$105K","Dole"
33,3,"extLib","extCon",88,"HSdrop","$17K-$20K","Dole"
27,0,"Mod","Con",26,"CCdeg","$30K-$35K","Clinton"
35,7,"sliLib","Mod",78,"HS","$60K-$75K","Clinton"
75,6,"sliLib","Con",55,"BAdeg","$90K-$105K","Dole"
55,1,"Lib","Con",41,"HS","$60K-$75K","Clinton"
22,0,"Mod","Con",61,"Coll","$25K-$30K","Dole"
22,0,"Lib","sliCon",32,"HS","$50K-$60K","Dole"
16,7,"sliLib","Con",82,"HS","$10K-$11K","Dole"
0,7,"Lib","Mod",74,"BAdeg","$25K-$30K","Dole"
2,5,"sliLib","sliCon",25,"BAdeg","$25K-$30K","Clinton"
0,0,"sliLib","Mod",31,"HS","$45K-$50K","Dole"
7300,0,"Lib","Con",79,"Coll","$35K-$40K","Clinton"
45,3,"Lib","Mod",61,"MAdeg","$60K-$75K","Dole"
630,0,"Mod","extCon",37,"HS","$60K-$75K","Clinton"
2800,0,"Lib","extCon",51,"Coll","$30K-$35K","Clinton"
3,7,"Mod","Mod",74,"HS","$40K-$45K","Clinton"
0,4,"sliLib","extCon",30,"Coll","$35K-$40K","Clinton"
1,7,"sliCon","Lib",39,"Coll","$50K-$60K","Clinton"
0,4,"Lib","Con",42,"CCdeg","$22K-$25K","Clinton"
51,1,"sliLib","Lib",65,"HSdrop","$30K-$35K","Clinton"
0,4,"Lib","Con",25,"CCdeg","$30K-$35K","Clinton"
37,5,"sliCon","sliCon",51,"BAdeg","$30K-$35K","Clinton"
51,5,"sliLib","Con",72,"BAdeg","$50K-$60K","Clinton"
51,5,"Mod","extCon",41,"HS","$30K-$35K","Clinton"
47,0,"Mod","Con",40,"MAdeg","$105Kplus","Clinton"
22,6,"extLib","Con",62,"Coll","$60K-$75K","Dole"
3,1,"extLib","Con",43,"MAdeg","$30K-$35K","Clinton"
54,2,"Lib","extCon",36,"BAdeg","$40K-$45K","Clinton"
200,7,"Lib","sliLib",68,"HS","$22K-$25K","Clinton"
390,0,"Mod","Con",25,"Coll","$20K-$22K","Clinton"
0,4,"sliLib","Con",39,"BAdeg","$90K-$105K","Clinton"
33,5,"sliLib","sliCon",82,"HS","$10K-$11K","Dole"
640,7,"sliCon","extCon",33,"HS","$5K-$7K","Dole"
2,1,"Lib","sliCon",43,"Coll","$60K-$75K","Clinton"
0,7,"Lib","Con",50,"HS","$22K-$25K","Dole"
3,4,"sliCon","sliLib",43,"BAdeg","$25K-$30K","Clinton"
0,6,"sliLib","Con",64,"HSdrop","$25K-$30K","Dole"
14,0,"sliLib","Con",34,"BAdeg","$50K-$60K","Dole"
0,0,"Lib","sliCon",56,"MAdeg","$50K-$60K","Dole"
4,3,"sliCon","sliLib",48,"HS","$25K-$30K","Dole"
900,0,"Mod","extCon",30,"CCdeg","$105Kplus","Clinton"
0,3,"Lib","extCon",48,"HS","$50K-$60K","Clinton"
19,5,"Lib","Con",35,"Coll","$25K-$30K","Dole"
0,0,"Con","Mod",24,"Coll","$17K-$20K","Clinton"
0,5,"Lib","Mod",45,"BAdeg","$105Kplus","Dole"
0,3,"Lib","Con",36,"BAdeg","$22K-$25K","Dole"
0,3,"sliLib","Con",48,"CCdeg","$50K-$60K","Clinton"
5,7,"Mod","Con",85,"HSdrop","$75K-$90K","Clinton"
2,7,"sliLib","sliCon",42,"HS","$22K-$25K","Dole"
51,1,"Lib","Con",49,"HS","$40K-$45K","Dole"
16,7,"sliLib","Con",61,"MAdeg","$60K-$75K","Clinton"
22,7,"Lib","Con",29,"BAdeg","$15K-$17K","Clinton"
0,4,"Lib","sliCon",57,"HS","$30K-$35K","Dole"
83,4,"Mod","Con",43,"BAdeg","$45K-$50K","Clinton"
140,1,"sliLib","Con",79,"MAdeg","$45K-$50K","Dole"
0,7,"Lib","sliCon",65,"MAdeg","$50K-$60K","Dole"
10,1,"sliLib","Con",74,"HS","$22K-$25K","Clinton"
0,7,"Mod","Con",54,"HS","$30K-$35K","Clinton"
0,0,"Mod","Con",42,"MAdeg","$30K-$35K","Clinton"
3,7,"Lib","Con",81,"MAdeg","$60K-$75K","Dole"
84,7,"sliCon","Con",67,"HSdrop","$11K-$12K","Clinton"
9,1,"Lib","sliCon",41,"Coll","$35K-$40K","Dole"
0,0,"Lib","Con",37,"BAdeg","$7K-$9K","Dole"
0,3,"extLib","Con",40,"CCdeg","$60K-$75K","Dole"
0,0,"extLib","sliCon",88,"Coll","$9K-$10K","Dole"
0,0,"sliLib","Con",50,"BAdeg","$60K-$75K","Clinton"
0,3,"sliLib","Con",34,"Coll","$40K-$45K","Clinton"
1000,7,"extCon","Mod",74,"MS","$3Kminus","Clinton"
70,0,"extCon","extCon",41,"HS","$35K-$40K","Clinton"
2800,7,"extLib","Con",74,"HS","$20K-$22K","Dole"
7300,3,"Lib","Con",37,"Coll","$22K-$25K","Clinton"
1,0,"sliLib","sliCon",39,"Coll","$50K-$60K","Dole"
310,0,"Lib","extCon",35,"Coll","$60K-$75K","Clinton"
190,1,"Lib","Con",22,"HS","$35K-$40K","Dole"
7300,7,"Lib","Con",50,"BAdeg","$90K-$105K","Dole"
0,7,"Mod","sliCon",77,"HS","$12K-$13K","Clinton"
1600,5,"Mod","Con",41,"MAdeg","$15K-$17K","Clinton"
140,7,"Lib","Mod",76,"BAdeg","$75K-$90K","Clinton"
110,7,"Lib","Con",76,"Coll","$35K-$40K","Dole"
